# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
7430.19  0.36   0.31
7431.90  0.27   0.34
7433.61  0.38   0.31
7435.33  0.56   0.28
7437.04  0.58   0.28
7438.75  0.65   0.35
7440.46  0.86   0.41
7442.18  0.99   0.36
7443.89  1.00   0.29
7445.61  0.96   0.27
7447.32  0.90   0.26
7449.03  0.90   0.26
7450.75  0.98   0.26
7452.47  1.03   0.27
7454.18  0.96   0.27
7455.90  0.83   0.26
7457.62  0.75   0.26
7459.33  0.81   0.27
7461.05  0.99   0.27
7462.77  1.09   0.29
7464.49  1.12   0.30
7466.21  1.14   0.31
7467.93  1.02   0.33
7469.65  0.83   0.32
7471.37  0.82   0.32
7473.09  0.88   0.37
7474.81  0.81   0.38
7476.53  0.69   0.36
7478.25  0.64   0.32
7479.97  0.74   0.33
7481.70  0.95   0.38
7483.42  1.08   0.40
7485.14  1.06   0.40
7486.86  0.95   0.36
7488.59  0.95   0.30
7490.31  1.05   0.28
7492.04  1.05   0.27
7493.76  0.98   0.29
7495.49  0.93   0.31
7497.22  0.92   0.30
7498.94  1.01   0.28
7500.67  1.13   0.27
7502.40  1.16   0.28
7504.12  1.12   0.27
7505.85  1.06   0.27
7507.58  0.91   0.26
7509.31  0.88   0.26
7511.04  1.02   0.27
7512.77  1.05   0.27
7514.50  1.01   0.26
7516.23  0.99   0.27
7517.96  0.94   0.29
7519.69  0.81   0.30
7521.42  0.67   0.30
7523.15  0.76   0.36
7524.89  0.97   0.51
7526.62  0.98   0.55
7528.35  0.82   0.43
7530.09  0.70   0.34
7531.82  0.63   0.37
7533.56  0.63   0.36
7535.29  0.77   0.31
7537.03  0.88   0.27
7538.76  1.00   0.27
7540.50  1.11   0.29
7542.23  1.02   0.30
7543.97  0.90   0.29
7545.71  0.81   0.28
7547.45  0.72   0.27
7549.18  0.72   0.27
7550.92  0.72   0.27
7552.66  0.58   0.27
7554.40  0.44   0.27
7556.14  0.51   0.28
7557.88  0.73   0.32
7559.62  0.71   0.35
7561.36  0.41   0.32
7563.10  0.23   0.27
7564.84  0.31   0.27
7566.59  0.46   0.27
7568.33  0.64   0.28
7570.07  0.73   0.31
7571.82  0.68   0.39
7573.56  0.70   0.51
7575.30  0.75   0.45
7577.05  0.73   0.34
7578.79  0.65   0.28
7580.54  0.59   0.27
7582.28  0.59   0.26
7584.03  0.60   0.27
7585.78  0.60   0.31
7587.52  0.71   0.37
7589.27  0.83   0.36
7591.02  0.76   0.30
7592.77  0.60   0.27
7594.51  0.55   0.29
7596.26  0.41   0.34
7598.01  0.31   0.50
7599.76  0.64   0.74
7601.51  1.20   0.85
7603.26  1.43   0.74
7605.01  1.21   0.70
7606.76  1.02   0.69
7608.52  1.09   0.68
7610.27  1.10   0.64
7612.02  1.01   0.59
7613.77  0.98   0.51
7615.53  0.90   0.45
7617.28  0.77   0.41
7619.04  0.67   0.41
7620.79  0.53   0.39
7622.54  0.49   0.38
7624.30  0.51   0.41
7626.06  0.52   0.43
7627.81  0.47   0.48
7629.57  0.44   0.61
7631.33  0.68   0.64
7633.08  0.95   0.53
7634.84  1.02   0.43
7636.60  0.86   0.40
7638.36  0.66   0.39
7640.12  0.59   0.38
7641.88  0.59   0.38
7643.64  0.66   0.37
7645.40  0.70   0.37
7647.16  0.70   0.36
7648.92  0.72   0.34
7650.68  0.57   0.34
7652.44  0.30   0.34
7654.20  0.20   0.35
7655.97  0.28   0.37
7657.73  0.43   0.33
7659.49  0.64   0.30
7661.26  0.79   0.32
7663.02  0.70   0.38
7664.79  0.65   0.39
7666.55  0.76   0.35
7668.32  0.80   0.30
7670.08  0.77   0.28
7671.85  0.65   0.28
7673.61  0.44   0.28
7675.38  0.36   0.28
7677.15  0.58   0.27
7678.92  0.97   0.28
7680.69  1.01   0.28
7682.45  0.69   0.28
7684.22  0.49   0.29
7685.99  0.61   0.29
7687.76  0.79   0.30
7689.53  0.73   0.30
7691.30  0.66   0.30
7693.08  0.62   0.31
7694.85  0.56   0.30
7696.62  0.49   0.29
7698.39  0.50   0.29
7700.16  0.64   0.32
7701.94  0.76   0.33
7703.71  0.73   0.31
7705.49  0.58   0.28
7707.26  0.46   0.27
7709.03  0.44   0.27
7710.81  0.38   0.31
7712.59  0.29   0.49
7714.36  0.38   0.69
7716.14  0.62   0.72
7717.91  0.73   0.71
7719.69  0.67   0.70
7721.47  0.55   0.49
7723.25  0.49   0.35
7725.03  0.62   0.37
7726.81  0.70   0.42
7728.59  0.58   0.40
7730.37  0.48   0.33
7732.15  0.45   0.29
7733.93  0.38   0.28
7735.71  0.24   0.30
7737.49  0.12   0.32
7739.27  0.16   0.31
7741.05  0.23   0.30
7742.83  0.14   0.29
7744.62  0.05   0.28
7746.40  0.04   0.29
7748.19  0.01   0.32
7749.97  0.13   0.48
7751.75  0.44   0.79
7753.54  0.63   0.84
7755.33  0.55   0.50
7757.11  0.27   0.32
7758.90  0.21   0.35
7760.68  0.38   0.47
7762.47  0.45   0.52
7764.26  0.34   0.40
7766.05  0.30   0.29
7767.83  0.28   0.27
7769.62  0.30   0.27
7771.41  0.41   0.29
7773.20  0.32   0.33
7774.99  0.19   0.39
7776.78  0.14   0.37
7778.57  0.08   0.31
7780.37  0.10   0.35
7782.16  0.23   0.47
7783.95  0.40   0.43
7785.74  0.42   0.33
7787.53  0.17   0.31
7789.33  0.02   0.31
7791.12  0.10   0.33
7792.92  0.26   0.40
7794.71  0.60   0.61
7796.51  0.92   0.76
7798.30  0.82   0.55
7800.10  0.38   0.33
7801.89  0.15   0.28
7803.69  0.27   0.27
7805.49  0.30   0.28
7807.28  0.04   0.31
7809.08  -0.04  0.42
7810.88  0.14   0.49
7812.68  0.16   0.41
7814.48  0.05   0.31
7816.28  -0.00  0.30
7818.08  -0.16  0.30
7819.88  -0.53  0.34
7821.68  -0.46  0.60
7823.48  0.15   0.80
7825.28  0.54   0.65
7827.08  0.49   0.37
7828.89  0.39   0.30
7830.69  0.44   0.29
7832.49  0.43   0.29
7834.30  0.34   0.28
7836.10  0.36   0.28
7837.91  0.52   0.28
7839.71  0.53   0.29
7841.52  0.50   0.40
7843.32  0.56   0.49
7845.13  0.51   0.40
7846.93  0.34   0.30
7848.74  0.17   0.29
7850.55  -0.28  0.35
7852.36  -0.57  0.45
7854.16  -0.20  0.71
7855.97  0.41   0.81
7857.78  0.76   0.59
7859.59  0.71   0.44
7861.40  0.62   0.52
7863.21  0.83   0.53
7865.02  0.93   0.40
7866.83  0.64   0.31
7868.65  0.47   0.37
7870.46  0.49   0.49
7872.27  0.50   0.58
7874.08  0.52   0.51
7875.90  0.44   0.34
7877.71  0.23   0.31
7879.52  0.10   0.42
7881.34  0.08   0.50
7883.15  0.06   0.47
7884.97  0.14   0.40
7886.79  0.22   0.34
7888.60  0.04   0.35
7890.42  0.04   0.51
7892.23  0.34   0.61
7894.05  0.56   0.48
7895.87  0.55   0.34
7897.69  0.53   0.31
7899.51  0.61   0.30
7901.33  0.70   0.29
7903.15  0.68   0.29
7904.97  0.45   0.29
7906.79  0.29   0.29
7908.61  0.42   0.30
7910.43  0.44   0.31
7912.25  0.37   0.41
7914.07  0.48   0.75
7915.89  0.53   0.93
7917.72  0.29   0.68
7919.54  0.07   0.46
7921.36  0.40   0.50
7923.19  0.93   0.64
7925.01  1.22   0.51
7926.84  1.09   0.34
7928.66  0.62   0.30
7930.49  0.29   0.35
7932.32  0.34   0.49
7934.14  0.42   0.53
7935.97  0.33   0.40
7937.80  0.33   0.30
7939.63  0.54   0.29
7941.45  0.66   0.29
7943.28  0.56   0.29
7945.11  0.56   0.29
7946.94  0.64   0.31
7948.77  0.84   0.36
7950.60  0.97   0.45
7952.43  0.87   0.44
7954.26  0.72   0.33
7956.10  0.66   0.28
7957.93  0.63   0.27
7959.76  0.59   0.27
7961.59  0.48   0.28
7963.43  0.49   0.37
7965.26  0.90   0.66
7967.10  1.33   0.77
7968.93  1.31   0.58
7970.77  0.91   0.37
7972.60  0.64   0.30
7974.44  0.72   0.28
7976.27  0.81   0.30
7978.11  0.68   0.36
7979.95  0.57   0.48
7981.78  0.62   0.56
7983.62  0.70   0.43
7985.46  0.73   0.31
7987.30  0.77   0.28
7989.14  0.71   0.29
7990.98  0.55   0.32
7992.82  0.59   0.46
7994.66  0.74   0.80
7996.50  0.71   0.76
7998.34  0.60   0.47
8000.18  0.63   0.32
8002.03  0.75   0.30
8003.87  0.77   0.29
8005.71  0.76   0.29
8007.56  0.71   0.28
8009.40  0.66   0.27
8011.24  0.61   0.28
8013.09  0.59   0.32
8014.94  0.60   0.44
8016.78  0.47   0.48
8018.63  0.28   0.39
8020.47  0.32   0.30
8022.32  0.52   0.30
8024.17  0.34   0.36
8026.02  0.03   0.58
8027.86  0.11   0.74
8029.71  0.34   0.59
8031.56  0.39   0.41
8033.41  0.39   0.31
8035.26  0.45   0.29
8037.11  0.51   0.28
8038.96  0.61   0.27
8040.81  0.64   0.27
8042.67  0.62   0.27
8044.52  0.65   0.27
8046.37  0.61   0.27
8048.22  0.45   0.26
8050.08  0.25   0.28
8051.93  0.11   0.33
8053.78  0.10   0.40
8055.64  0.15   0.36
8057.49  0.32   0.29
8059.35  0.47   0.27
8061.21  0.49   0.31
8063.06  0.56   0.45
8064.92  0.59   0.50
8066.78  0.49   0.37
8068.63  0.38   0.28
8070.49  0.26   0.27
8072.35  0.17   0.26
8074.21  0.27   0.26
8076.07  0.45   0.27
8077.93  0.47   0.28
8079.79  0.38   0.28
8081.65  0.36   0.27
8083.51  0.31   0.27
8085.37  0.14   0.28
8087.23  0.03   0.29
8089.10  0.06   0.27
8090.96  0.15   0.26
8092.82  0.29   0.27
8094.69  0.38   0.32
8096.55  0.30   0.33
8098.41  0.21   0.29
8100.28  0.20   0.27
8102.14  0.33   0.30
8104.01  0.49   0.38
8105.88  0.47   0.38
8107.74  0.32   0.30
8109.61  0.21   0.27
8111.48  0.27   0.26
8113.35  0.44   0.27
8115.21  0.46   0.27
8117.08  0.34   0.26
8118.95  0.26   0.26
8120.82  0.34   0.26
8122.69  0.51   0.26
8124.56  0.61   0.27
8126.43  0.65   0.27
8128.31  0.57   0.27
8130.18  0.37   0.27
8132.05  0.22   0.27
8133.92  0.12   0.28
8135.79  0.10   0.28
8137.67  0.10   0.28
8139.54  0.05   0.30
8141.42  -0.01  0.31
8143.29  -0.10  0.29
8145.17  -0.15  0.27
8147.04  -0.03  0.30
8148.92  0.22   0.33
8150.80  0.41   0.31
8152.67  0.43   0.28
8154.55  0.38   0.27
8156.43  0.44   0.27
8158.31  0.47   0.27
8160.19  0.34   0.27
8162.06  0.18   0.28
8163.94  0.13   0.29
8165.82  0.26   0.29
8167.70  0.39   0.29
8169.58  0.37   0.27
8171.47  0.34   0.28
8173.35  0.33   0.28
8175.23  0.28   0.27
8177.11  0.31   0.27
8179.00  0.42   0.29
8180.88  0.49   0.30
8182.76  0.52   0.31
8184.65  0.59   0.31
8186.53  0.75   0.33
8188.42  0.75   0.34
8190.30  0.64   0.34
8192.19  0.75   0.34
8194.08  0.98   0.33
8195.96  0.80   0.34
8197.85  0.33   0.36
8199.74  0.23   0.35
8201.63  0.40   0.34
8203.52  0.36   0.31
8205.40  0.18   0.31
8207.29  0.19   0.31
8209.18  0.34   0.29
8211.07  0.35   0.29
8212.97  0.32   0.28
8214.86  0.37   0.28
8216.75  0.34   0.28
8218.64  0.27   0.27
8220.53  0.18   0.27
8222.43  0.12   0.27
8224.32  0.11   0.28
8226.21  0.10   0.29
8228.11  0.10   0.29
8230.00  0.10   0.30
8231.90  0.21   0.29
8233.79  0.37   0.29
8235.69  0.37   0.28
8237.59  0.23   0.27
8239.48  0.22   0.26
8241.38  0.36   0.27
8243.28  0.34   0.28
8245.18  0.26   0.28
8247.08  0.29   0.28
8248.98  0.31   0.28
8250.87  0.28   0.29
8252.78  0.20   0.28
8254.68  0.16   0.27
8256.58  0.20   0.29
8258.48  0.31   0.29
8260.38  0.46   0.28
8262.28  0.54   0.27
8264.18  0.59   0.27
8266.09  0.63   0.27
8267.99  0.55   0.27
8269.90  0.44   0.26
8271.80  0.41   0.27
8273.70  0.30   0.27
8275.61  0.12   0.27
8277.52  0.11   0.31
8279.42  0.09   0.44
8281.33  -0.03  0.56
8283.24  0.03   0.64
8285.14  0.24   0.58
8287.05  0.22   0.49
8288.96  0.31   0.65
8290.87  0.60   0.76
8292.78  0.61   0.56
8294.69  0.45   0.36
8296.60  0.30   0.42
8298.51  -0.08  0.67
8300.42  -0.44  0.80
8302.33  -0.38  0.69
8304.24  -0.07  0.43
8306.15  0.19   0.32
8308.07  0.17   0.29
8309.98  0.12   0.33
8311.89  0.26   0.47
8313.81  0.24   0.46
8315.72  0.12   0.32
8317.64  0.17   0.28
8319.55  0.21   0.30
8321.47  0.16   0.30
8323.39  0.25   0.28
8325.30  0.35   0.27
8327.22  0.33   0.26
8329.14  0.39   0.26
8331.05  0.52   0.26
8332.97  0.43   0.26
8334.89  0.27   0.26
8336.81  0.31   0.27
8338.73  0.39   0.29
8340.65  0.26   0.30
8342.57  -0.45  0.40
8344.49  -0.84  0.78
8346.42  -0.26  1.30
8348.34  0.60   1.13
8350.26  0.82   0.52
8352.18  0.39   0.47
8354.11  0.19   0.71
8356.03  0.25   0.70
8357.95  0.35   0.41
8359.88  0.29   0.29
8361.80  0.11   0.30
8363.73  -0.04  0.34
8365.66  0.13   0.43
8367.58  0.53   0.46
8369.51  0.64   0.35
8371.44  0.43   0.27
8373.36  0.30   0.26
8375.29  0.38   0.27
8377.22  0.40   0.27
8379.15  0.32   0.28
8381.08  0.12   0.34
8383.01  -0.06  0.51
8384.94  -0.03  0.61
8386.87  0.28   0.42
8388.80  0.60   0.29
8390.74  0.68   0.27
8392.67  0.64   0.28
8394.60  0.57   0.28
8396.53  0.35   0.28
8398.47  0.21   0.50
8400.40  0.51   1.00
8402.34  1.02   1.05
8404.27  1.23   0.52
8406.20  0.96   0.29
8408.14  0.62   0.26
8410.08  0.44   0.26
8412.01  0.24   0.26
8413.95  -0.04  0.31
8415.89  -0.18  0.54
8417.83  0.06   0.64
8419.77  0.56   0.49
8421.70  0.97   0.29
8423.64  0.98   0.28
8425.58  0.56   0.29
8427.52  -0.21  0.31
8429.46  -0.79  0.51
8431.41  -0.71  1.07
8433.35  -0.23  1.17
8435.29  0.21   0.57
8437.23  0.37   0.31
8439.17  0.36   0.27
8441.12  0.34   0.26
8443.06  0.34   0.26
8445.01  0.37   0.26
8446.95  0.43   0.26
8448.90  0.42   0.27
8450.84  0.22   0.30
8452.79  0.11   0.49
8454.74  0.19   0.61
8456.68  0.40   0.45
8458.63  0.50   0.29
8460.58  0.46   0.26
8462.53  0.44   0.28
8464.48  0.39   0.40
8466.42  0.68   0.82
8468.37  1.24   0.92
8470.32  1.47   0.50
8472.27  1.10   0.28
8474.23  0.60   0.27
8476.18  0.25   0.30
8478.13  0.02   0.29
8480.08  -0.06  0.27
8482.03  -0.10  0.26
8483.99  -0.04  0.26
8485.94  0.16   0.25
8487.90  0.26   0.26
8489.85  0.17   0.26
8491.80  0.07   0.26
8493.76  0.29   0.39
8495.72  0.62   0.50
8497.67  0.73   0.41
8499.63  0.63   0.30
8501.59  0.41   0.28
8503.54  -0.00  0.35
8505.50  -0.17  0.59
8507.46  0.05   0.69
8509.42  0.33   0.48
8511.38  0.40   0.28
8513.34  0.39   0.25
8515.30  0.56   0.25
8517.26  0.78   0.26
8519.22  0.75   0.26
8521.19  0.57   0.26
8523.15  0.41   0.27
8525.11  0.26   0.26
8527.07  0.23   0.25
8529.04  0.26   0.25
8531.00  0.18   0.25
8532.97  0.14   0.25
8534.93  0.18   0.25
8536.90  0.12   0.26
8538.86  -0.12  0.31
8540.83  -0.37  0.39
8542.79  -0.35  0.33
8544.76  -0.07  0.27
8546.73  0.25   0.27
8548.70  0.61   0.36
8550.67  0.95   0.49
8552.64  1.06   0.42
8554.61  0.87   0.30
8556.58  0.43   0.26
8558.55  0.13   0.25
8560.52  0.10   0.25
8562.49  0.14   0.25
8564.46  0.16   0.25
8566.43  0.08   0.25
8568.41  -0.03  0.25
8570.38  -0.05  0.25
8572.35  -0.02  0.25
8574.33  0.11   0.26
8576.30  0.23   0.27
8578.28  0.22   0.28
8580.25  0.12   0.27
8582.23  0.04   0.26
8584.20  -0.02  0.25
8586.18  -0.05  0.25
8588.16  -0.14  0.28
8590.13  -0.15  0.33
8592.11  0.01   0.31
8594.09  0.13   0.26
8596.07  0.03   0.27
8598.05  -0.14  0.33
8600.03  -0.23  0.35
8602.01  -0.17  0.29
8603.99  -0.05  0.26
8605.97  -0.02  0.26
8607.96  0.01   0.26
8609.94  0.08   0.27
8611.92  0.09   0.28
8613.90  0.10   0.30
8615.89  0.16   0.34
8617.87  0.13   0.38
8619.86  -0.01  0.42
8621.84  -0.10  0.47
8623.83  -0.06  0.50
8625.81  0.09   0.54
8627.80  0.23   0.57
8629.79  0.38   0.60
8631.77  0.57   0.61
8633.76  0.55   0.60
8635.75  0.30   0.58
8637.74  0.06   0.54
8639.73  0.09   0.51
8641.72  0.37   0.46
8643.71  0.54   0.41
8645.70  0.44   0.34
8647.69  0.29   0.37
8649.68  0.20   0.44
8651.67  0.24   0.52
8653.66  0.30   0.55
8655.66  0.38   0.55
8657.65  0.42   0.60
8659.64  0.29   0.57
8661.64  0.13   0.59
8663.63  0.01   0.56
8665.63  0.14   0.56
8667.62  0.69   0.57
8669.62  1.02   0.50
8671.62  0.86   0.52
8673.61  0.53   0.49
8675.61  0.23   0.43
8677.61  0.35   0.46
8679.61  0.75   0.42
8681.60  0.91   0.37
8683.60  0.94   0.39
8685.60  1.16   0.35
8687.60  1.32   0.34
8689.60  1.21   0.34
8691.61  1.00   0.30
8693.61  0.99   0.30
8695.61  1.19   0.31
8697.61  1.24   0.29
8699.61  1.12   0.29
8701.62  1.08   0.32
8703.62  1.10   0.31
8705.63  1.03   0.28
8707.63  1.09   0.30
8709.64  1.27   0.32
8711.64  1.43   0.30
8713.65  1.52   0.28
8715.65  1.57   0.26
8717.66  1.58   0.27
8719.67  1.54   0.27
8721.68  1.56   0.27
8723.69  1.59   0.27
8725.69  1.48   0.27
8727.70  1.29   0.28
8729.71  1.13   0.28
8731.72  1.11   0.27
8733.73  1.09   0.26
8735.75  0.87   0.26
8737.76  0.54   0.26
8739.77  0.38   0.27
8741.78  0.59   0.28
8743.80  1.09   0.28
8745.81  1.64   0.28
8747.82  1.94   0.27
8749.84  1.85   0.28
8751.85  1.47   0.28
8753.87  1.04   0.28
8755.88  0.73   0.27
8757.90  0.56   0.32
8759.92  0.54   0.51
8761.93  0.75   0.77
8763.95  1.05   0.86
8765.97  0.67   0.66
8767.99  -0.15  0.85
8770.01  -0.07  1.07
8772.03  0.64   0.77
8774.05  1.01   0.39
8776.07  0.66   0.44
8778.09  0.38   0.79
8780.11  0.31   1.08
8782.13  0.32   0.83
8784.15  0.25   0.37
8786.18  0.19   0.25
8788.20  0.77   0.26
8790.23  1.39   0.33
8792.25  1.62   0.55
8794.27  1.68   0.59
8796.30  1.72   0.37
8798.32  1.66   0.27
8800.35  1.48   0.27
8802.38  1.35   0.27
8804.40  1.40   0.27
8806.43  1.55   0.27
8808.46  1.49   0.27
8810.49  1.15   0.30
8812.52  0.94   0.32
8814.55  1.11   0.30
8816.58  1.40   0.27
8818.61  1.49   0.27
8820.64  1.36   0.26
8822.67  1.02   0.27
8824.70  0.35   0.36
8826.73  0.09   1.02
8828.77  0.54   1.71
8830.80  1.33   1.43
8832.83  1.74   0.64
8834.87  1.47   0.49
8836.90  1.49   0.71
8838.94  1.75   0.92
8840.97  1.87   0.69
8843.01  1.94   0.32
8845.04  2.12   0.29
8847.08  2.28   0.31
8849.12  2.42   0.37
8851.16  2.57   0.52
8853.19  2.58   0.55
8855.23  2.41   0.34
8857.27  2.26   0.28
8859.31  2.29   0.28
8861.35  2.38   0.29
8863.39  2.37   0.32
8865.43  2.22   0.35
8867.48  2.19   0.51
8869.52  2.53   0.73
8871.56  2.97   0.62
8873.60  2.98   0.34
8875.65  2.62   0.28
8877.69  2.52   0.27
8879.74  2.52   0.28
8881.78  2.23   0.28
8883.82  1.80   0.32
8885.87  1.98   0.84
8887.92  2.80   1.45
8889.96  3.69   1.09
8892.01  3.80   0.41
8894.06  2.85   0.29
8896.11  2.20   0.29
8898.16  2.21   0.31
8900.20  2.16   0.31
8902.25  1.77   0.40
8904.30  1.38   0.82
8906.35  1.09   0.81
8908.41  1.02   0.48
8910.46  1.42   0.32
8912.51  2.27   0.31
8914.56  2.81   0.28
8916.61  2.34   0.29
8918.67  1.42   0.57
8920.72  1.29   1.30
8922.78  1.95   1.42
8924.83  2.74   0.74
8926.89  2.99   0.35
8928.94  2.68   0.33
8931.00  2.42   0.34
8933.06  2.16   0.32
8935.11  1.96   0.31
8937.17  1.90   0.32
8939.23  1.96   0.31
8941.29  2.16   0.31
8943.35  2.31   0.52
8945.41  2.56   0.75
8947.46  2.88   0.64
8949.53  2.78   0.34
8951.59  2.41   0.28
8953.65  2.13   0.28
8955.71  1.51   0.31
8957.77  1.09   0.69
8959.83  1.36   1.21
8961.90  2.03   1.05
8963.96  2.43   0.50
8966.03  2.31   0.30
8968.09  2.27   0.29
8970.16  2.36   0.30
8972.22  2.30   0.32
8974.29  2.16   0.33
8976.35  2.05   0.30
8978.42  1.95   0.29
8980.49  1.84   0.30
8982.56  1.67   0.33
8984.63  1.55   0.31
8986.70  1.65   0.34
8988.76  1.73   0.54
8990.83  1.83   0.73
8992.91  2.01   0.55
8994.98  2.25   0.36
8997.05  2.33   0.33
8999.12  1.72   0.34
9001.19  1.17   0.61
9003.26  1.33   1.01
9005.34  1.82   0.76
9007.41  2.02   0.36
9009.49  1.65   0.27
9011.56  1.32   0.27
9013.64  1.29   0.27
9015.71  1.20   0.26
9017.79  0.94   0.26
9019.86  0.77   0.26
9021.94  0.83   0.28
9024.02  0.88   0.29
9026.10  0.77   0.27
9028.18  0.70   0.26
9030.26  0.83   0.29
9032.33  0.97   0.29
9034.41  1.08   0.28
9036.50  1.12   0.29
9038.58  1.08   0.40
9040.66  1.15   0.50
9042.74  1.17   0.38
9044.82  1.04   0.29
9046.90  0.87   0.29
9048.99  0.85   0.38
9051.07  1.08   0.58
9053.16  1.23   0.58
9055.24  0.92   0.36
9057.33  0.56   0.29
9059.41  0.77   0.29
9061.50  1.20   0.29
9063.59  1.45   0.29
9065.67  1.47   0.32
9067.76  1.28   0.31
9069.85  1.01   0.31
9071.94  0.88   0.33
9074.02  0.85   0.31
9076.12  0.83   0.28
9078.20  0.80   0.26
9080.30  0.90   0.27
9082.39  1.01   0.29
9084.48  0.94   0.28
9086.57  0.71   0.28
9088.66  0.55   0.28
9090.76  0.49   0.28
9092.85  0.38   0.33
9094.94  0.41   0.40
9097.04  0.62   0.36
9099.13  0.87   0.29
9101.23  0.93   0.31
9103.32  0.89   0.41
9105.42  0.90   0.48
9107.52  0.97   0.38
9109.61  0.85   0.29
9111.71  0.53   0.26
9113.81  0.37   0.26
9115.91  0.40   0.25
9118.01  0.57   0.26
9120.11  0.71   0.27
9122.21  0.72   0.26
9124.31  0.74   0.26
9126.41  0.69   0.25
9128.51  0.50   0.25
9130.61  0.39   0.26
9132.72  0.45   0.27
9134.82  0.61   0.27
9136.92  0.78   0.29
9139.03  0.82   0.30
9141.13  0.67   0.27
9143.24  0.60   0.27
9145.34  0.67   0.28
9147.45  0.70   0.27
9149.56  0.79   0.28
9151.66  0.80   0.32
9153.77  0.66   0.40
9155.88  0.60   0.42
9157.99  0.67   0.35
9160.10  0.57   0.34
9162.21  0.29   0.38
9164.31  0.15   0.38
9166.42  0.28   0.31
9168.54  0.38   0.27
9170.65  0.39   0.27
9172.76  0.47   0.27
9174.87  0.54   0.28
9176.98  0.56   0.29
9179.10  0.54   0.28
9181.21  0.47   0.27
9183.33  0.48   0.27
9185.44  0.48   0.27
9187.56  0.46   0.28
9189.67  0.50   0.28
9191.79  0.40   0.27
9193.90  0.25   0.27
9196.02  0.28   0.28
9198.14  0.37   0.28
9200.26  0.38   0.27
9202.38  0.43   0.28
9204.50  0.52   0.27
9206.62  0.58   0.28
9208.74  0.53   0.27
9210.86  0.53   0.27
9212.98  0.57   0.27
9215.10  0.43   0.27
9217.22  0.22   0.32
9219.34  0.23   0.35
9221.47  0.44   0.31
9223.59  0.65   0.30
9225.71  0.78   0.36
9227.84  1.00   0.39
9229.96  1.21   0.34
9232.09  1.21   0.30
9234.22  1.07   0.27
9236.34  0.95   0.27
9238.47  0.86   0.27
9240.60  0.82   0.26
9242.73  0.86   0.27
9244.85  0.85   0.27
9246.98  0.71   0.27
9249.11  0.59   0.28
9251.24  0.64   0.31
9253.37  0.74   0.31
9255.50  0.68   0.30
9257.63  0.49   0.27
9259.77  0.43   0.26
9261.90  0.52   0.27
9264.03  0.55   0.29
9266.16  0.45   0.28
9268.30  0.40   0.27
9270.43  0.47   0.26
9272.57  0.57   0.26
9274.70  0.66   0.26
9276.84  0.68   0.27
9278.98  0.61   0.27
9281.11  0.56   0.27
9283.25  0.57   0.28
9285.39  0.54   0.28
9287.53  0.48   0.34
9289.66  0.50   0.37
9291.80  0.42   0.33
9293.94  0.21   0.33
9296.08  0.04   0.38
9298.22  0.02   0.36
