# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
4432.00  0.04   0.41
4433.02  0.18   0.42
4434.04  0.31   0.41
4435.07  0.36   0.41
4436.09  0.36   0.41
4437.11  0.37   0.41
4438.13  0.51   0.42
4439.15  0.66   0.43
4440.17  0.57   0.44
4441.20  0.26   0.43
4442.22  -0.02  0.42
4443.24  -0.14  0.42
4444.27  -0.18  0.42
4445.29  -0.33  0.42
4446.31  -0.53  0.42
4447.34  -0.61  0.42
4448.36  -0.57  0.40
4449.39  -0.29  0.40
4450.41  0.18   0.41
4451.43  0.45   0.42
4452.46  0.45   0.42
4453.48  0.17   0.41
4454.51  -0.32  0.40
4455.54  -0.58  0.39
4456.56  -0.52  0.40
4457.59  -0.55  0.39
4458.62  -0.80  0.39
4459.64  -1.12  0.38
4460.67  -1.23  0.38
4461.70  -1.11  0.39
4462.72  -0.95  0.40
4463.75  -0.73  0.41
4464.78  -0.51  0.40
4465.81  -0.14  0.39
4466.84  0.44   0.39
4467.86  0.75   0.41
4468.89  0.64   0.39
4469.92  0.47   0.40
4470.95  0.34   0.40
4471.98  0.23   0.39
4473.01  0.18   0.40
4474.04  -0.06  0.41
4475.07  -0.42  0.40
4476.10  -0.45  0.40
4477.13  -0.16  0.41
4478.16  0.03   0.41
4479.20  0.16   0.40
4480.23  0.40   0.41
4481.26  0.57   0.41
4482.29  0.57   0.41
4483.32  0.39   0.41
4484.35  0.28   0.41
4485.39  0.39   0.42
4486.42  0.48   0.42
4487.45  0.43   0.42
4488.49  0.34   0.41
4489.52  0.19   0.41
4490.55  -0.16  0.40
4491.59  -0.39  0.39
4492.62  -0.38  0.40
4493.66  -0.34  0.41
4494.69  -0.30  0.40
4495.73  -0.32  0.41
4496.76  -0.34  0.40
4497.80  -0.22  0.41
4498.83  -0.08  0.41
4499.87  0.16   0.41
4500.91  0.51   0.41
4501.94  0.56   0.41
4502.98  0.22   0.40
4504.02  0.08   0.40
4505.05  0.15   0.41
4506.09  0.05   0.41
4507.13  -0.15  0.41
4508.17  -0.21  0.40
4509.20  0.07   0.40
4510.24  0.44   0.40
4511.28  0.82   0.40
4512.32  1.15   0.41
4513.36  0.99   0.40
4514.40  0.60   0.40
4515.44  0.37   0.40
